year,region,family_houses,apartments,regions_base,name_base
2006,Česká republika,100.0,100.0,Ceska republika,CZ
2006,Hlavní město Praha,100.0,100.0,Hlavni mesto Praha,Praha
2006,Středočeský kraj,100.0,100.0,Stredocesky kraj,Stredocesky
2006,Jihočeský kraj,100.0,100.0,Jihocesky kraj,Jihocesky
2006,Plzeňský kraj,100.0,100.0,Plzensky kraj,Plzensky
2006,Karlovarský kraj,100.0,100.0,Karlovarsky kraj,Karlovarsky
2006,Ústecký kraj,100.0,100.0,Ustecky kraj,Ustecky
2006,Liberecký kraj,100.0,100.0,Liberecky kraj,Liberecky
2006,Královéhradecký kraj,100.0,100.0,Kralovehradecky kraj,Kralovehradecky
2006,Pardubický kraj,100.0,100.0,Pardubicky kraj,Pardubicky
2006,Kraj Vysočina,100.0,100.0,Kraj Vysocina,Vysocina
2006,Jihomoravský kraj,100.0,100.0,Jihomoravsky kraj,Jihomoravsky
2006,Olomoucký kraj,100.0,100.0,Olomoucky kraj,Olomoucky
2006,Zlínský kraj,100.0,100.0,Zlinsky kraj,Zlinsky
2006,Moravskoslezský kraj,100.0,100.0,Moravskoslezsky kraj,Moravskoslezsky
2007,Česká republika,112.19047619047618,131.18081180811805,Ceska republika,CZ
2007,Hlavní město Praha,109.09990108803166,128.28947368421052,Hlavni mesto Praha,Praha
2007,Středočeský kraj,113.77649325626204,133.2420091324201,Stredocesky kraj,Stredocesky
2007,Jihočeský kraj,112.29050279329607,125.5460588793922,Jihocesky kraj,Jihocesky
2007,Plzeňský kraj,109.99030067895248,127.1559633027523,Plzensky kraj,Plzensky
2007,Karlovarský kraj,110.6115107913669,126.47342995169082,Karlovarsky kraj,Karlovarsky
2007,Ústecký kraj,112.75992438563327,125.09727626459143,Ustecky kraj,Ustecky
2007,Liberecký kraj,114.38095238095237,141.2625800548948,Liberecky kraj,Liberecky
2007,Královéhradecký kraj,111.6883116883117,138.13405797101447,Kralovehradecky kraj,Kralovehradecky
2007,Pardubický kraj,112.85024154589371,128.89273356401384,Pardubicky kraj,Pardubicky
2007,Kraj Vysočina,110.83650190114068,129.07735321528426,Kraj Vysocina,Vysocina
2007,Jihomoravský kraj,114.06844106463879,133.7230215827338,Jihomoravsky kraj,Jihomoravsky
2007,Olomoucký kraj,110.40723981900453,139.40795559666975,Olomoucky kraj,Olomoucky
2007,Zlínský kraj,111.52737752161383,137.39982190561,Zlinsky kraj,Zlinsky
2007,Moravskoslezský kraj,117.24806201550388,137.04363312555657,Moravskoslezsky kraj,Moravskoslezsky
2008,Česká republika,124.47619047619045,153.59778597785976,Ceska republika,CZ
2008,Hlavní město Praha,121.46389713155291,148.77819548872182,Hlavni mesto Praha,Praha
2008,Středočeský kraj,126.78227360308284,153.15068493150682,Stredocesky kraj,Stredocesky
2008,Jihočeský kraj,120.85661080074487,144.2545109211776,Jihocesky kraj,Jihocesky
2008,Plzeňský kraj,121.92046556741029,152.2935779816514,Plzensky kraj,Plzensky
2008,Karlovarský kraj,124.19064748201438,148.1159420289855,Karlovarsky kraj,Karlovarsky
2008,Ústecký kraj,129.86767485822307,143.57976653696497,Ustecky kraj,Ustecky
2008,Liberecký kraj,123.61904761904762,162.76303751143644,Liberecky kraj,Liberecky
2008,Královéhradecký kraj,122.44897959183675,156.06884057971013,Kralovehradecky kraj,Kralovehradecky
2008,Pardubický kraj,122.31884057971014,151.12456747404843,Pardubicky kraj,Pardubicky
2008,Kraj Vysočina,119.20152091254754,154.7996272134203,Kraj Vysocina,Vysocina
2008,Jihomoravský kraj,124.71482889733839,155.2158273381295,Jihomoravsky kraj,Jihomoravsky
2008,Olomoucký kraj,127.33031674208144,166.69750231267344,Olomoucky kraj,Olomoucky
2008,Zlínský kraj,128.43419788664744,161.4425645592164,Zlinsky kraj,Zlinsky
2008,Moravskoslezský kraj,134.10852713178295,175.3339269813001,Moravskoslezsky kraj,Moravskoslezsky
2009,Česká republika,123.04761904761904,134.68634686346863,Ceska republika,CZ
2009,Hlavní město Praha,117.60633036597429,132.98872180451127,Hlavni mesto Praha,Praha
2009,Středočeský kraj,125.0481695568401,134.1552511415525,Stredocesky kraj,Stredocesky
2009,Jihočeský kraj,117.69087523277467,130.29439696106363,Jihocesky kraj,Jihocesky
2009,Plzeňský kraj,119.59262851600388,126.60550458715598,Plzensky kraj,Plzensky
2009,Karlovarský kraj,128.77697841726618,131.69082125603865,Karlovarsky kraj,Karlovarsky
2009,Ústecký kraj,137.9962192816635,130.3501945525292,Ustecky kraj,Ustecky
2009,Liberecký kraj,123.71428571428571,140.4391582799634,Liberecky kraj,Liberecky
2009,Královéhradecký kraj,123.00556586270872,135.2355072463768,Kralovehradecky kraj,Kralovehradecky
2009,Pardubický kraj,124.83091787439612,132.17993079584778,Pardubicky kraj,Pardubicky
2009,Kraj Vysočina,111.97718631178707,137.09226467847157,Kraj Vysocina,Vysocina
2009,Jihomoravský kraj,121.19771863117872,136.96043165467626,Jihomoravsky kraj,Jihomoravsky
2009,Olomoucký kraj,134.2081447963801,142.27567067530066,Olomoucky kraj,Olomoucky
2009,Zlínský kraj,120.36503362151777,136.06411398040964,Zlinsky kraj,Zlinsky
2009,Moravskoslezský kraj,136.33720930232556,146.2154942119323,Moravskoslezsky kraj,Moravskoslezsky
2010,Česká republika,121.33333333333333,127.85977859778596,Ceska republika,CZ
2010,Hlavní město Praha,118.29871414441148,127.06766917293233,Hlavni mesto Praha,Praha
2010,Středočeský kraj,121.86897880539499,129.04109589041096,Stredocesky kraj,Stredocesky
2010,Jihočeský kraj,113.96648044692736,124.69135802469137,Jihocesky kraj,Jihocesky
2010,Plzeňský kraj,116.97381183317168,122.01834862385321,Plzensky kraj,Plzensky
2010,Karlovarský kraj,133.7230215827338,121.93236714975845,Karlovarsky kraj,Karlovarsky
2010,Ústecký kraj,133.648393194707,123.73540856031128,Ustecky kraj,Ustecky
2010,Liberecký kraj,120.85714285714286,121.31747483989021,Liberecky kraj,Liberecky
2010,Královéhradecký kraj,117.99628942486086,128.35144927536228,Kralovehradecky kraj,Kralovehradecky
2010,Pardubický kraj,123.09178743961353,123.0968858131488,Pardubicky kraj,Pardubicky
2010,Kraj Vysočina,110.83650190114068,130.38210624417522,Kraj Vysocina,Vysocina
2010,Jihomoravský kraj,122.52851711026616,134.80215827338128,Jihomoravsky kraj,Jihomoravsky
2010,Olomoucký kraj,130.58823529411765,131.63737280296024,Olomoucky kraj,Olomoucky
2010,Zlínský kraj,120.46109510086455,129.74176313446125,Zlinsky kraj,Zlinsky
2010,Moravskoslezský kraj,134.98062015503876,133.8379341050757,Moravskoslezsky kraj,Moravskoslezsky
2011,Česká republika,123.88133333333333,127.60405904059039,Ceska republika,CZ
2011,Hlavní město Praha,117.94381800197826,124.90751879699248,Hlavni mesto Praha,Praha
2011,Středočeský kraj,125.03757225433525,127.87972602739724,Stredocesky kraj,Stredocesky
2011,Jihočeský kraj,119.20893854748601,124.31728395061731,Jihocesky kraj,Jihocesky
2011,Plzeňský kraj,125.04500484966053,122.14036697247705,Plzensky kraj,Plzensky
2011,Karlovarský kraj,135.86258992805753,119.73758454106282,Karlovarsky kraj,Karlovarsky
2011,Ústecký kraj,135.5194706994329,131.90194552529184,Ustecky kraj,Ustecky
2011,Liberecký kraj,125.93314285714287,117.19268069533395,Liberecky kraj,Liberecky
2011,Královéhradecký kraj,121.89016697588127,133.7422101449275,Kralovehradecky kraj,Kralovehradecky
2011,Pardubický kraj,126.4152657004831,125.68192041522491,Pardubicky kraj,Pardubicky
2011,Kraj Vysočina,110.28231939163497,130.90363466915193,Kraj Vysocina,Vysocina
2011,Jihomoravský kraj,121.18070342205324,135.34136690647483,Jihomoravsky kraj,Jihomoravsky
2011,Olomoucký kraj,134.37529411764706,130.58427382053657,Olomoucky kraj,Olomoucky
2011,Zlínský kraj,122.87031700288185,130.2607301869991,Zlinsky kraj,Zlinsky
2011,Moravskoslezský kraj,140.7847868217054,135.31015138023153,Moravskoslezsky kraj,Moravskoslezsky
2012,Česká republika,123.63866666666668,126.06974169741696,Ceska republika,CZ
2012,Hlavní město Praha,120.90128585558854,124.01804511278195,Hlavni mesto Praha,Praha
2012,Středočeský kraj,123.94075144508669,127.87972602739724,Stredocesky kraj,Stredocesky
2012,Jihočeský kraj,120.91843575418993,122.94567901234569,Jihocesky kraj,Jihocesky
2012,Plzeňský kraj,119.7811833171678,121.2862385321101,Plzensky kraj,Plzensky
2012,Karlovarský kraj,134.79280575539565,118.76212560386475,Karlovarsky kraj,Karlovarsky
2012,Ústecký kraj,133.91568998109642,127.81867704280155,Ustecky kraj,Ustecky
2012,Liberecký kraj,121.824,115.2516010978957,Liberecky kraj,Liberecky
2012,Královéhradecký kraj,124.48608534322821,129.37826086956517,Kralovehradecky kraj,Kralovehradecky
2012,Pardubický kraj,125.67671497584541,123.21998269896193,Pardubicky kraj,Pardubicky
2012,Kraj Vysočina,109.39562737642585,129.3390493942218,Kraj Vysocina,Vysocina
2012,Jihomoravský kraj,123.26368821292775,134.39775179856116,Jihomoravsky kraj,Jihomoravsky
2012,Olomoucký kraj,135.02823529411765,126.37187789084183,Olomoucky kraj,Olomoucky
2012,Zlínský kraj,122.14755043227667,126.36847729296525,Zlinsky kraj,Zlinsky
2012,Moravskoslezský kraj,139.3,132.76723063223508,Moravskoslezsky kraj,Moravskoslezsky
2013,Česká republika,125.09466666666667,125.8140221402214,Ceska republika,CZ
2013,Hlavní město Praha,123.5038575667656,125.41578947368421,Hlavni mesto Praha,Praha
2013,Středočeský kraj,126.37813102119459,128.39589041095888,Stredocesky kraj,Stredocesky
2013,Jihočeský kraj,121.37430167597765,124.44197530864199,Jihocesky kraj,Jihocesky
2013,Plzeňský kraj,122.23763336566441,119.82201834862386,Plzensky kraj,Plzensky
2013,Karlovarský kraj,139.87428057553953,113.51903381642512,Karlovarsky kraj,Karlovarsky
2013,Ústecký kraj,133.91568998109642,115.69260700389106,Ustecky kraj,Ustecky
2013,Liberecký kraj,122.67,115.61555352241537,Liberecky kraj,Liberecky
2013,Královéhradecký kraj,123.89610389610391,130.40507246376808,Kralovehradecky kraj,Kralovehradecky
2013,Pardubický kraj,126.90763285024154,120.63494809688582,Pardubicky kraj,Pardubicky
2013,Kraj Vysočina,109.8389733840304,128.29599254426842,Kraj Vysocina,Vysocina
2013,Jihomoravský kraj,127.06207224334601,136.28498201438848,Jihomoravsky kraj,Jihomoravsky
2013,Olomoucký kraj,130.84941176470588,128.0831637372803,Olomoucky kraj,Olomoucky
2013,Zlínský kraj,122.62939481268012,126.49821905609971,Zlinsky kraj,Zlinsky
2013,Moravskoslezský kraj,140.1098837209302,128.2167408726625,Moravskoslezsky kraj,Moravskoslezsky
2014,Česká republika,127.15733333333334,128.37121771217713,Ceska republika,CZ
2014,Hlavní město Praha,126.93452027695352,128.33834586466165,Hlavni mesto Praha,Praha
2014,Středočeský kraj,126.98747591522157,131.23479452054795,Stredocesky kraj,Stredocesky
2014,Jihočeský kraj,119.77877094972065,125.9382716049383,Jihocesky kraj,Jihocesky
2014,Plzeňský kraj,122.35460717749757,124.09266055045872,Plzensky kraj,Plzensky
2014,Karlovarský kraj,137.86843525179853,116.44541062801933,Karlovarsky kraj,Karlovarsky
2014,Ústecký kraj,139.12797731568998,112.22801556420234,Ustecky kraj,Ustecky
2014,Liberecký kraj,126.054,115.2516010978957,Liberecky kraj,Liberecky
2014,Královéhradecký kraj,124.48608534322821,132.84374999999997,Kralovehradecky kraj,Kralovehradecky
2014,Pardubický kraj,128.3847342995169,122.85069204152249,Pardubicky kraj,Pardubicky
2014,Kraj Vysočina,114.38326996197718,133.77204100652375,Kraj Vysocina,Vysocina
2014,Jihomoravský kraj,129.75769961977187,141.67706834532373,Jihomoravsky kraj,Jihomoravsky
2014,Olomoucký kraj,132.80823529411765,131.76901017576319,Olomoucky kraj,Olomoucky
2014,Zlínský kraj,125.15907780979828,127.79563668744433,Zlinsky kraj,Zlinsky
2014,Moravskoslezský kraj,142.1345930232558,127.54755120213713,Moravskoslezsky kraj,Moravskoslezsky
2015,Česká republika,128.73466666666667,132.33487084870848,Ceska republika,CZ
2015,Hlavní město Praha,128.35410484668645,134.0563909774436,Hlavni mesto Praha,Praha
2015,Středočeský kraj,127.96242774566473,131.36383561643834,Stredocesky kraj,Stredocesky
2015,Jihočeský kraj,120.46256983240222,132.54691358024692,Jihocesky kraj,Jihocesky
2015,Plzeňský kraj,122.23763336566441,129.21743119266057,Plzensky kraj,Plzensky
2015,Karlovarský kraj,142.54874100719422,117.54280193236715,Karlovarsky kraj,Karlovarsky
2015,Ústecký kraj,142.73648393194708,111.98054474708172,Ustecky kraj,Ustecky
2015,Liberecký kraj,128.592,114.28106129917659,Liberecky kraj,Liberecky
2015,Královéhradecký kraj,124.2500927643785,135.66748188405793,Kralovehradecky kraj,Kralovehradecky
2015,Pardubický kraj,129.1232850241546,130.48269896193773,Pardubicky kraj,Pardubicky
2015,Kraj Vysočina,117.93003802281368,132.5986020503262,Kraj Vysocina,Vysocina
2015,Jihomoravský kraj,128.53241444866921,145.45152877697842,Jihomoravsky kraj,Jihomoravsky
2015,Olomoucký kraj,136.72588235294117,138.0876040703053,Olomoucky kraj,Olomoucky
2015,Zlínský kraj,128.65244956772335,131.42840605520922,Zlinsky kraj,Zlinsky
2015,Moravskoslezský kraj,143.34941860465116,131.96420302760464,Moravskoslezsky kraj,Moravskoslezsky
2016,Česká republika,131.768,147.03874538745387,Ceska republika,CZ
2016,Hlavní město Praha,140.42057368941644,154.5142857142857,Hlavni mesto Praha,Praha
2016,Středočeský kraj,131.98410404624275,137.8158904109589,Stredocesky kraj,Stredocesky
2016,Jihočeský kraj,124.79329608938546,140.52716049382718,Jihocesky kraj,Jihocesky
2016,Plzeňský kraj,118.96236663433561,145.93394495412844,Plzensky kraj,Plzensky
2016,Karlovarský kraj,146.15926258992803,122.663961352657,Karlovarsky kraj,Karlovarsky
2016,Ústecký kraj,141.66729678638941,114.33151750972763,Ustecky kraj,Ustecky
2016,Liberecký kraj,126.77914285714287,122.53064958828912,Liberecky kraj,Liberecky
2016,Královéhradecký kraj,122.36215213358072,147.3474637681159,Kralovehradecky kraj,Kralovehradecky
2016,Pardubický kraj,126.16908212560386,143.0385813148789,Pardubicky kraj,Pardubicky
2016,Kraj Vysočina,115.49163498098858,146.54948741845294,Kraj Vysocina,Vysocina
2016,Jihomoravský kraj,138.94733840304184,162.7062050359712,Jihomoravsky kraj,Jihomoravsky
2016,Olomoucký kraj,129.80470588235295,160.99250693802037,Olomoucky kraj,Olomoucky
2016,Zlínský kraj,133.8322766570605,144.92154942119322,Zlinsky kraj,Zlinsky
2016,Moravskoslezský kraj,143.61937984496123,141.60053428317008,Moravskoslezsky kraj,Moravskoslezsky
2017,Česká republika,138.56266666666667,165.8341328413284,Ceska republika,CZ
2017,Hlavní město Praha,145.50741839762614,170.77894736842106,Hlavni mesto Praha,Praha
2017,Středočeský kraj,132.71531791907515,162.33369863013698,Stredocesky kraj,Stredocesky
2017,Jihočeský kraj,136.3039106145251,161.9740740740741,Jihocesky kraj,Jihocesky
2017,Plzeňský kraj,133.11619786614938,167.77522935779817,Plzensky kraj,Plzensky
2017,Karlovarský kraj,146.96160071942444,141.07574879227053,Karlovarsky kraj,Karlovarsky
2017,Ústecký kraj,146.879584120983,126.58132295719844,Ustecky kraj,Ustecky
2017,Liberecký kraj,128.47114285714287,149.34181152790484,Liberecky kraj,Liberecky
2017,Královéhradecký kraj,134.39777365491653,169.42391304347822,Kralovehradecky kraj,Kralovehradecky
2017,Pardubický kraj,127.4,153.3787197231834,Pardubicky kraj,Pardubicky
2017,Kraj Vysočina,129.67870722433457,172.3651444547996,Kraj Vysocina,Vysocina
2017,Jihomoravský kraj,144.8287072243346,185.8921762589928,Jihomoravsky kraj,Jihomoravsky
2017,Olomoucký kraj,143.25529411764705,178.23700277520817,Olomoucky kraj,Olomoucky
2017,Zlínský kraj,140.57809798270895,156.59830810329473,Zlinsky kraj,Zlinsky
2017,Moravskoslezský kraj,150.90833333333333,158.06260017809439,Moravskoslezsky kraj,Moravskoslezsky
2018,Česká republika,144.38666666666668,184.75738007380073,Ceska republika,CZ
2018,Hlavní město Praha,146.69040553907024,189.33082706766916,Hlavni mesto Praha,Praha
2018,Středočeský kraj,135.6401734104046,184.78684931506848,Stredocesky kraj,Stredocesky
2018,Jihočeský kraj,138.81117318435753,167.46049382716055,Jihocesky kraj,Jihocesky
2018,Plzeňský kraj,137.32725509214356,181.68532110091743,Plzensky kraj,Plzensky
2018,Karlovarský kraj,150.57212230215825,153.02512077294688,Karlovarsky kraj,Karlovarsky
2018,Ústecký kraj,154.09659735349717,139.94474708171205,Ustecky kraj,Ustecky
2018,Liberecký kraj,135.84342857142857,167.17548032936872,Liberecky kraj,Liberecky
2018,Královéhradecký kraj,140.29758812615958,185.72454710144922,Kralovehradecky kraj,Kralovehradecky
2018,Pardubický kraj,130.23111111111112,175.6592560553633,Pardubicky kraj,Pardubicky
2018,Kraj Vysočina,138.9889733840304,197.920037278658,Kraj Vysocina,Vysocina
2018,Jihomoravský kraj,152.7930608365019,202.47284172661867,Jihomoravsky kraj,Jihomoravsky
2018,Olomoucký kraj,148.74,202.45827937095285,Olomoucky kraj,Olomoucky
2018,Zlínský kraj,153.10605187319885,186.82813891362417,Zlinsky kraj,Zlinsky
2018,Moravskoslezský kraj,165.62122093023257,183.893321460374,Moravskoslezsky kraj,Moravskoslezsky
2019,Česká republika,154.5786666666667,197.54335793357933,Ceska republika,CZ
2019,Hlavní město Praha,141.95845697329378,203.1812030075188,Hlavni mesto Praha,Praha
2019,Středočeský kraj,153.1893063583815,194.4649315068493,Stredocesky kraj,Stredocesky
2019,Jihočeský kraj,143.7117318435754,192.5234567901235,Jihocesky kraj,Jihocesky
2019,Plzeňský kraj,147.50397672162947,195.351376146789,Plzensky kraj,Plzensky
2019,Karlovarský kraj,168.4910071942446,163.75516908212563,Karlovarsky kraj,Karlovarsky
2019,Ústecký kraj,165.85765595463138,162.83579766536965,Ustecky kraj,Ustecky
2019,Liberecký kraj,148.05,172.75608417200368,Liberecky kraj,Liberecky
2019,Královéhradecký kraj,151.15324675324678,180.20543478260865,Kralovehradecky kraj,Kralovehradecky
2019,Pardubický kraj,144.75594202898552,191.90804498269898,Pardubicky kraj,Pardubicky
2019,Kraj Vysočina,153.9519011406844,209.52404473438955,Kraj Vysocina,Vysocina
2019,Jihomoravský kraj,159.89971482889734,215.2790467625899,Jihomoravsky kraj,Jihomoravsky
2019,Olomoucký kraj,157.48941176470586,222.4671600370028,Olomoucky kraj,Olomoucky
2019,Zlínský kraj,165.63400576368878,193.05574354407835,Zlinsky kraj,Zlinsky
2019,Moravskoslezský kraj,175.33982558139536,196.47408726625113,Moravskoslezsky kraj,Moravskoslezsky
2020,Česká republika,214.15333333333334,239.99280442804425,Ceska republika,CZ
2020,ČR bez Prahy,177.4,184.6,,
2020,Hlavní město Praha,202.40909990108804,245.36766917293232,Hlavni mesto Praha,Praha
2020,Středočeský kraj,228.86994219653178,237.43561643835613,Stredocesky kraj,Stredocesky
2020,Jihočeský kraj,208.33072625698324,250.2555555555556,Jihocesky kraj,Jihocesky
2020,Plzeňský kraj,205.52298739088263,220.97522935779816,Plzensky kraj,Plzensky
2020,Karlovarský kraj,211.41609712230212,190.70222222222225,Karlovarsky kraj,Karlovarsky
2020,Ústecký kraj,228.13780718336483,232.99377431906618,Ustecky kraj,Ustecky
2020,Liberecký kraj,213.4337142857143,222.25361390667885,Liberecky kraj,Liberecky
2020,Královéhradecký kraj,207.67346938775512,243.9961050724637,Kralovehradecky kraj,Kralovehradecky
2020,Pardubický kraj,204.45545893719807,228.96020761245674,Pardubicky kraj,Pardubicky
2020,Kraj Vysočina,194.0747148288973,244.98797763280524,Kraj Vysocina,Vysocina
2020,Jihomoravský kraj,222.14420152091256,257.0677158273381,Jihomoravsky kraj,Jihomoravsky
2020,Olomoucký kraj,212.2058823529412,245.3720629047179,Olomoucky kraj,Olomoucky
2020,Zlínský kraj,207.19308357348703,234.9623330365093,Zlinsky kraj,Zlinsky
2020,Moravskoslezský kraj,220.01841085271317,229.2643811219947,Moravskoslezsky kraj,Moravskoslezsky
2021,Česká republika,255.16400000000002,293.310332103321,Ceska republika,CZ
2021,ČR bez Prahy,213.4,228.9,,
2021,Hlavní město Praha,223.70286844708212,294.0345864661654,Hlavni mesto Praha,Praha
2021,Středočeský kraj,278.1050096339113,289.05205479452053,Stredocesky kraj,Stredocesky
2021,Jihočeský kraj,247.6491620111732,312.3518518518519,Jihocesky kraj,Jihocesky
2021,Plzeňský kraj,249.15421920465567,273.8091743119266,Plzensky kraj,Plzensky
2021,Karlovarský kraj,240.1665467625899,231.30570048309178,Karlovarsky kraj,Karlovarsky
2021,Ústecký kraj,278.5232514177694,309.9571984435798,Ustecky kraj,Ustecky
2021,Liberecký kraj,258.876,263.62287282708144,Liberecky kraj,Liberecky
2021,Královéhradecký kraj,242.01038961038964,305.34809782608687,Kralovehradecky kraj,Kralovehradecky
2021,Pardubický kraj,245.07574879227053,275.2446366782007,Pardubicky kraj,Pardubicky
2021,Kraj Vysočina,239.7393536121673,303.0080149114632,Kraj Vysocina,Vysocina
2021,Jihomoravský kraj,266.7445817490494,317.99829136690647,Jihomoravsky kraj,Jihomoravsky
2021,Olomoucký kraj,252.94941176470587,295.78917668825164,Olomoucky kraj,Olomoucky
2021,Zlínský kraj,239.35619596541787,291.3999999999999,Zlinsky kraj,Zlinsky
2021,Moravskoslezský kraj,266.5867248062015,300.6,Moravskoslezsky kraj,Moravskoslezsky
2022,Česká republika,283.31333333333333,341.129889298893,Ceska republika,CZ
2022,ČR bez Prahy,236.9,273.2,,
2022,Hlavní město Praha,248.78219584569737,330.2488721804511,Hlavni mesto Praha,Praha
2022,Středočeský kraj,303.9412331406551,338.99095890410956,Stredocesky kraj,Stredocesky
2022,Jihočeský kraj,266.1117318435754,368.21358024691364,Jihocesky kraj,Jihocesky
2022,Plzeňský kraj,282.6087293889428,330.0596330275229,Plzensky kraj,Plzensky
2022,Karlovarský kraj,266.3762589928057,281.66376811594205,Karlovarsky kraj,Karlovarsky
2022,Ústecký kraj,318.7514177693762,385.18832684824906,Ustecky kraj,Ustecky
2022,Liberecký kraj,281.83885714285714,322.21921317474846,Liberecky kraj,Liberecky
2022,Královéhradecký kraj,272.8074211502783,365.1598731884057,Kralovehradecky kraj,Kralovehradecky
2022,Pardubický kraj,276.83342995169085,330.1458477508651,Pardubicky kraj,Pardubicky
2022,Kraj Vysočina,256.3648288973384,361.8103448275862,Kraj Vysocina,Vysocina
2022,Jihomoravský kraj,290.6376425855513,373.94118705035964,Jihomoravsky kraj,Jihomoravsky
2022,Olomoucký kraj,305.05411764705883,351.8666975023127,Olomoucky kraj,Olomoucky
2022,Zlínský kraj,267.0622478386167,343.8156723063223,Zlinsky kraj,Zlinsky
2022,Moravskoslezský kraj,303.8413759689922,362.2992876224399,Moravskoslezsky kraj,Moravskoslezsky
2023,Česká republika,286.22533333333337,321.82306273062727,Ceska republika,CZ
2023,ČR bez Prahy,238.5,256.2,,
2023,Hlavní město Praha,260.13887240356087,314.1112781954887,Hlavni mesto Praha,Praha
2023,Středočeský kraj,309.05973025048166,320.925205479452,Stredocesky kraj,Stredocesky
2023,Jihočeský kraj,268.8469273743017,346.3925925925927,Jihocesky kraj,Jihocesky
2023,Plzeňský kraj,286.2349175557711,306.26605504587155,Plzensky kraj,Plzensky
2023,Karlovarský kraj,268.7832733812949,270.567922705314,Karlovarsky kraj,Karlovarsky
2023,Ústecký kraj,309.93062381852553,359.9463035019455,Ustecky kraj,Ustecky
2023,Liberecký kraj,289.93628571428576,305.23476669716376,Liberecky kraj,Liberecky
2023,Královéhradecký kraj,280.24118738404457,352.19637681159406,Kralovehradecky kraj,Kralovehradecky
2023,Pardubický kraj,276.95652173913044,305.0340830449827,Pardubicky kraj,Pardubicky
2023,Kraj Vysočina,250.26882129277564,353.465890027959,Kraj Vysocina,Vysocina
2023,Jihomoravský kraj,287.57442965779467,345.767535971223,Jihomoravsky kraj,Jihomoravsky
2023,Olomoucký kraj,308.05764705882353,326.0657724329325,Olomoucky kraj,Olomoucky
2023,Zlínský kraj,273.5671469740634,330.3225289403383,Zlinsky kraj,Zlinsky
2023,Moravskoslezský kraj,301.41172480620156,334.9963490650045,Moravskoslezsky kraj,Moravskoslezsky
2024,Česká republika,291.07866666666666,341.00202952029514,Ceska republika,CZ
2024,ČR bez Prahy,242.3,266.8,,
2024,Hlavní město Praha,265.8172106824926,340.92255639097743,Hlavni mesto Praha,Praha
2024,Středočeský kraj,316.49373795761073,333.3131506849315,Stredocesky kraj,Stredocesky
2024,Jihočeský kraj,274.7731843575419,357.1160493827161,Jihocesky kraj,Jihocesky
2024,Plzeňský kraj,291.26479146459747,320.66422018348624,Plzensky kraj,Plzensky
2024,Karlovarský kraj,265.9750899280575,277.3961352657005,Karlovarsky kraj,Karlovarsky
2024,Ústecký kraj,304.45103969754257,374.2996108949416,Ustecky kraj,Ustecky
2024,Liberecký kraj,292.4742857142857,314.6975297346752,Liberecky kraj,Liberecky
2024,Královéhradecký kraj,274.1053803339518,361.95108695652164,Kralovehradecky kraj,Kralovehradecky
2024,Pardubický kraj,276.83342995169085,321.40596885813153,Pardubicky kraj,Pardubicky
2024,Kraj Vysočina,252.04220532319388,368.4598322460392,Kraj Vysocina,Vysocina
2024,Jihomoravský kraj,292.96568441064636,363.83102517985606,Jihomoravsky kraj,Jihomoravsky
2024,Olomoucký kraj,311.9752941176471,338.8345975948196,Olomoucky kraj,Olomoucky
2024,Zlínský kraj,281.035734870317,335.64194122885124,Zlinsky kraj,Zlinsky
2024,Moravskoslezský kraj,311.1303294573643,352.1276046304542,Moravskoslezsky kraj,Moravskoslezsky
